gridded, obs,atm, air temperature,global,monthly,land,daily,weekly,precip,sst,ocn,ssh,flux,temperature,soil moisture,conus,climo
GHCN_CAMS,GHCN_CAMS,CPC-TEMP,GHCN_CAMS,ERSSTv3b,ERSSTv3b,SMAP_L3,NOAA_INTERP_OLR,NOAA_INTERP_OLR,GPCC,ERSSTv3b,EN4.2.1,AVISO,WHOI_OAFLUX,CPC-TEMP,SMAP_L3,CPC-PRECIP-CONUS,LEGATES
AVISO,AVISO,GHCN_CAMS,ERSSTv4,ERSSTv4,SMAP_L4,CPC-PRECIP,OISSTv2,GPCP,ERSSTv4,COBE-SST2,SMAP_L4,
CPC-PRECIP,CPC-PRECIP,WHOI_OAFLUX,ERSSTv5,ERSSTv5,GEWEX_IP,CPC-PRECIP-CONUS,CMAP,ERSSTv5,ERSSTv3b,
CPC-PRECIP-CONUS,CPC-PRECIP-CONUS,CPC-PRECIP,HADISST,HADISST,CCI,LEGATES,HADISST,ERSSTv4,
OISSTv2,OISSTv3,CPC-PRECIP-CONUS,CCI,GPCP,CPC-PRECIP,OISSTv2,ERSSTv5,
CCI,CCI,GPCP,CMAP,CPC-PRECIP-CONUS,HADISST,
NOAA_INTERP_OLR,NOAA_INTERP_OLR,CMAP,GHCN_CAMS,AVISO,
GEWEX_IP,GEWEX_IP,LEGATES,GPCC,OISSTv2,
WHOI_OAFLUX,WHOI_OAFLUX,GHCN_CAMS,WHOI_OAFLUX,
GPCC,GPCC,NOAA_INTERP_OLR,AVISO,
GPCP,GPCP,GPCC,OISSTv2,
CMAP,CMAP,AVISO,
LEGATES,LEGATES,CPC-PRECIP,
ERSSTv3b,ERSSTv3b,WHOI_OAFLUX,
ERSSTv4,ERSSTv4,OISSTv2,
ERSSTv5,ERSSTv5,
HADISST,HADISST,
EN4.2.1,EN4.2.2,
COBE-SST2,COBE-SST3,
CPC-TEMP,CPC-TEMP,
SMAP_L3,SMAP_L3,
SMAP_L4,SMAP_L4,
